id,name,privacy,members_approx,members_label,activity,friends_in_group,is_member,member_since,unread_signal,recent_members_signal,relevance_tier,search_query,source_date,account_observed,notes
141,"ROOMIES-ROOMMATES GUADALAJARA (Busca,ofrece,comparte depa o casa)",Público,51000,51 mil miembros,,9,yes,junio de 2021,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
142,Habitaciones o cuartos en guadalajara jalisco,Público,69000,69 mil miembros,,5,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
143,Roomies VIP Guadalajara,Público,27000,27 mil miembros,,6,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
144,Roomies Guadalajara 2026 Chapultepec -Centro -Americana,Público,39000,39 mil miembros,,11,yes,septiembre de 2020,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
145,Malos Roomies Gdl,Privado,10000,10 mil miembros,,4,yes,mayo de 2020,,,D_reputation_not_supply,roomies gdl,2026-08-01,personal (Facebook search UI),
146,Roomies y cuartos en renta GDL,Público,90000,90 mil miembros,,17,yes,octubre de 2020,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
147,RENTA DE CUARTOS LOFS GUADALAJARA JALISCO,Público,12000,12 mil miembros,,,yes,septiembre de 2020,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
148,ROOMS IN GUADALAJARA ZAPOPAN - STUDENT EXCHANGE ROOMS FOR RENT GUADALAJARA,Privado,950,950 miembros,,,yes,septiembre de 2020,6 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
149,renta de cuartos guadalajara,Público,74000,74 mil miembros,,17,yes,enero de 2021,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
150,"Renta de cuartos/locales en Guadalajara (ZMG), Jalisco",Público,19000,19 mil miembros,,,yes,septiembre de 2020,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
151,Renta de Cuartos Guadalajara - ROOMIES,Público,7300,7.3 mil miembros,,2,yes,,25 publicaciones no leídas,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
152,ROOMIES VIP GUADALAJARA - Renta cuartos Andares Chapu Providencia Chapalita,Privado,67000,67 mil miembros,,23,yes,septiembre de 2020,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
153,"RoomiesGDL Habitaciones en Renta/Col Americana, Chapultepec & Centro Hist",Público,2300,2.3 mil miembros,,,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
154,Rentas GDL-ZAPOPAN- CUARTOS Y RENTAS- FORÁNEOS EXCHANGE STUDENT- GUADALAJAR,Público,18000,18 mil miembros,,4,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
155,Roomies y cuartos en renta en Guadalajara,Privado,84000,84 mil miembros,,9,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
156,Rentas GDL-ZAPOPAN-CUARTOS Y RENTAS-Exchange Student Guadalajara - Foráneos,Privado,71000,71 mil miembros,,4,yes,,1 publicación no leída,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
157,Renta Cuartos y habitaciones en Guadalajara para jóvenes,Público,32000,32 mil miembros,,2,yes,,25 publicaciones no leídas,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
158,Guadalajara cuartos en renta,Público,19000,19 mil miembros,,,yes,,2 publicaciones no leídas,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
159,Roomies y cuartos en renta en Guadalajara,Privado,21000,21 mil miembros,,5,yes,,8 publicaciones no leídas,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
160,"Cuartos y Roomies ZMG (Gdl, Zapopan, Tlaquepaque) - Corto y Largo Plazo",Público,67000,67 mil miembros,,19,yes,mayo de 2015,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
161,"BUSCO ROOMIE GDL, RENTA DE CUARTOS GDL, RENTA CASAS GDL, COMPARTO DEPA GDL,",Privado,57000,57 mil miembros,,30,yes,agosto de 2014,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
162,"Guadalajara Renta de casas , cuartos y departamentos en zona metropolitana",Público,124000,124 mil miembros,,19,yes,,25 publicaciones no leídas,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
163,ROOMIES SÓLO HOMBRES ZAPOPAN/GUADALAJARA,Público,3000,3 mil miembros,,,yes,marzo de 2019,7 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
